Núm.,Tarea,Estimado,Real,Desviación
1,Definición y objetivos del proyecto,1d,,
2.1.1,NLP – Lectura y estudio de la bibliografía,3d,,
2.1.2,NLP – Redacción de la memoria,1w,,
2.2.1,ML – Lectura y estudio de la bibliografía,3d,,
2.2.2,ML – Redacción de la memoria,1w,,
3.1,GUI - Especificación y análisis de requisitos,4d,,
3.2,GUI – Búsqueda de frameworks,2d,,
3.3,GUI – Pruebas y análisis de frameworks,1w 3d,2w 3d,$+$1w
3.4,GUI – Diseño del sistema,3d,,
3.5,GUI – Wireframes del GUI,1d,,
3.6.1.1,GUI – Proto - Implementación QML,1d,,
3.6.1.2,GUI – Proto - Implementación Python,1d,,
3.6.1.3,GUI – Proto - Pruebas,1d,,
3.6.2.1,GUI – Load - Implementación QML,1d,4d,$+$3d
3.6.2.2,GUI – Load - Implementación Python,1d,,
3.6.2.3,GUI – Load - Pruebas,1d,,
3.6.3.1,GUI – Preprocess - Implementación QML,1d,,
3.6.3.2,GUI – Preprocess - Implementación Python,1d,,
3.6.3.3,GUI – Preprocess - Pruebas,1d,,
3.6.4.1,GUI – Features - Implementación QML,1d,,
3.6.4.2,GUI – Features - Implementación Python,1d,,
3.6.4.3,GUI – Features - Pruebas,1d,,
3.6.5.1,GUI – Learn - Implementación QML,1d,,
3.6.5.2,GUI – Learn - Implementación Python,1d,,
3.6.5.3,GUI – Learn - Pruebas,1d,,
3.6.6.1,GUI – Classify - Implementación QML,1d,,
3.6.6.2,GUI – Classify - Implementación Python,1d,,
3.6.6.3,GUI – Classify - Pruebas,1d,,
3.7,GUI – Redacción de la memoria,2w,,
4.1,DFNSA - Captura de la demostración de uso,1d,,
4.2,DFNSA - Preparación CD y libro,1d,,
4.3,DFNSA - Redacción de las diapositivas,3d,,
4.4,DFNSA - Ensayos,2d,,
4.5,DFNSA - Exposición pública,1h,,
