{'min_df': 1, 'ngram_range': (1, 3)}, mean score: 0.6150006407791875
{'min_df': 1, 'ngram_range': (1, 4)}, mean score: 0.6118223760092272
{'min_df': 1, 'ngram_range': (1, 5)}, mean score: 0.6088299372036395
{'min_df': 1, 'ngram_range': (1, 6)}, mean score: 0.6057606048955531
{'min_df': 1, 'ngram_range': (2, 3)}, mean score: 0.6063693451236704
{'min_df': 1, 'ngram_range': (2, 4)}, mean score: 0.6051774958349353
{'min_df': 1, 'ngram_range': (2, 5)}, mean score: 0.6036972959118287
{'min_df': 1, 'ngram_range': (1, 7)}, mean score: 0.6032807894399591
{'min_df': 1, 'ngram_range': (2, 6)}, mean score: 0.6022106881968473
{'min_df': 2, 'ngram_range': (1, 3)}, mean score: 0.6181917211328977
{'min_df': 1, 'ngram_range': (2, 7)}, mean score: 0.6013071895424836
{'min_df': 2, 'ngram_range': (1, 4)}, mean score: 0.6151608355760605
{'min_df': 2, 'ngram_range': (1, 5)}, mean score: 0.6127450980392157
{'min_df': 2, 'ngram_range': (2, 3)}, mean score: 0.607362552864283
{'min_df': 2, 'ngram_range': (1, 6)}, mean score: 0.610553633217993
{'min_df': 2, 'ngram_range': (1, 7)}, mean score: 0.6084326541073947
{'min_df': 2, 'ngram_range': (2, 4)}, mean score: 0.6062091503267973
{'min_df': 2, 'ngram_range': (2, 5)}, mean score: 0.6054081763424325
{'min_df': 2, 'ngram_range': (2, 6)}, mean score: 0.6044918621043188
{'min_df': 2, 'ngram_range': (2, 7)}, mean score: 0.603838267333077
{'min_df': 3, 'ngram_range': (1, 3)}, mean score: 0.6173587081891581
{'min_df': 3, 'ngram_range': (1, 4)}, mean score: 0.6162373446110471
{'min_df': 3, 'ngram_range': (1, 5)}, mean score: 0.6133666538510829
{'min_df': 3, 'ngram_range': (1, 6)}, mean score: 0.6117326669229783
{'min_df': 3, 'ngram_range': (2, 3)}, mean score: 0.6050173010380623
{'min_df': 3, 'ngram_range': (1, 7)}, mean score: 0.6098551839036268
{'min_df': 3, 'ngram_range': (2, 4)}, mean score: 0.604639241317442
{'min_df': 3, 'ngram_range': (2, 5)}, mean score: 0.6042291426374471
{'min_df': 3, 'ngram_range': (2, 6)}, mean score: 0.6047802127386903
{'min_df': 3, 'ngram_range': (2, 7)}, mean score: 0.6038767140843266
{'min_df': 4, 'ngram_range': (1, 3)}, mean score: 0.6162117134435474
{'min_df': 4, 'ngram_range': (1, 4)}, mean score: 0.61440471613482
{'min_df': 4, 'ngram_range': (1, 5)}, mean score: 0.6111431500704857
{'min_df': 4, 'ngram_range': (1, 6)}, mean score: 0.6097975137767525
{'min_df': 4, 'ngram_range': (2, 3)}, mean score: 0.5980840702293989
{'min_df': 4, 'ngram_range': (1, 7)}, mean score: 0.6081378956811483
{'min_df': 4, 'ngram_range': (2, 4)}, mean score: 0.598731257208766
{'min_df': 4, 'ngram_range': (2, 5)}, mean score: 0.598237857234397
{'min_df': 4, 'ngram_range': (2, 6)}, mean score: 0.5981032936050237
{'min_df': 4, 'ngram_range': (2, 7)}, mean score: 0.5978982442650264
{'min_df': 5, 'ngram_range': (1, 3)}, mean score: 0.6092592592592593
{'min_df': 5, 'ngram_range': (1, 4)}, mean score: 0.607362552864283
{'min_df': 5, 'ngram_range': (1, 5)}, mean score: 0.6059656542355505
{'min_df': 5, 'ngram_range': (1, 6)}, mean score: 0.6048635140330643
{'min_df': 5, 'ngram_range': (1, 7)}, mean score: 0.60560041009868
{'min_df': 5, 'ngram_range': (2, 3)}, mean score: 0.5895873382032552
{'min_df': 5, 'ngram_range': (2, 4)}, mean score: 0.5885749070870178
{'min_df': 5, 'ngram_range': (2, 5)}, mean score: 0.5881904395745227
{'min_df': 5, 'ngram_range': (2, 6)}, mean score: 0.5883314109957709
{'min_df': 5, 'ngram_range': (2, 7)}, mean score: 0.5877418941432782
{'min_df': 6, 'ngram_range': (1, 3)}, mean score: 0.6046007945661925
{'min_df': 6, 'ngram_range': (1, 4)}, mean score: 0.6026271946687172
{'min_df': 6, 'ngram_range': (1, 5)}, mean score: 0.6013264129181084
{'min_df': 6, 'ngram_range': (1, 6)}, mean score: 0.6002242727156222
{'min_df': 6, 'ngram_range': (2, 3)}, mean score: 0.5779315647827759
{'min_df': 6, 'ngram_range': (1, 7)}, mean score: 0.5994617454825067
{'min_df': 6, 'ngram_range': (2, 4)}, mean score: 0.5772843778034089
{'min_df': 6, 'ngram_range': (2, 5)}, mean score: 0.5767140843265411
{'min_df': 6, 'ngram_range': (2, 6)}, mean score: 0.5762847622709215
{'min_df': 6, 'ngram_range': (2, 7)}, mean score: 0.576086120722799
{'min_df': 7, 'ngram_range': (1, 3)}, mean score: 0.5991862104318852
{'min_df': 7, 'ngram_range': (1, 4)}, mean score: 0.5974048442906575
{'min_df': 7, 'ngram_range': (1, 5)}, mean score: 0.5963027040881712
{'min_df': 7, 'ngram_range': (1, 6)}, mean score: 0.595354350890683
{'min_df': 7, 'ngram_range': (2, 3)}, mean score: 0.5676919133666539
{'min_df': 7, 'ngram_range': (1, 7)}, mean score: 0.5958349352813019
{'min_df': 7, 'ngram_range': (2, 4)}, mean score: 0.5675381263616559
{'min_df': 7, 'ngram_range': (2, 5)}, mean score: 0.5670126874279122
{'min_df': 7, 'ngram_range': (2, 6)}, mean score: 0.5658849160579265
{'min_df': 7, 'ngram_range': (2, 7)}, mean score: 0.5660066641035499
{'min_df': 8, 'ngram_range': (1, 3)}, mean score: 0.5959118287838011
{'min_df': 8, 'ngram_range': (1, 4)}, mean score: 0.5944252210688197
{'min_df': 8, 'ngram_range': (1, 5)}, mean score: 0.5941496860181982
{'min_df': 8, 'ngram_range': (1, 6)}, mean score: 0.5934063821607074
{'min_df': 8, 'ngram_range': (2, 3)}, mean score: 0.5576893502499038
{'min_df': 8, 'ngram_range': (1, 7)}, mean score: 0.5930347302319621
{'min_df': 8, 'ngram_range': (2, 4)}, mean score: 0.5564077918749198
{'min_df': 8, 'ngram_range': (2, 5)}, mean score: 0.5564270152505446
{'min_df': 8, 'ngram_range': (2, 6)}, mean score: 0.5560169165705497
{'min_df': 8, 'ngram_range': (2, 7)}, mean score: 0.5559336152761758
{'min_df': 9, 'ngram_range': (1, 3)}, mean score: 0.5946751249519415
{'min_df': 9, 'ngram_range': (1, 4)}, mean score: 0.5929642445213379
{'min_df': 9, 'ngram_range': (1, 5)}, mean score: 0.5923234653338459
{'min_df': 9, 'ngram_range': (1, 6)}, mean score: 0.5916442393951045
{'min_df': 9, 'ngram_range': (2, 3)}, mean score: 0.5494617454825067
{'min_df': 9, 'ngram_range': (1, 7)}, mean score: 0.5911572472126105
{'min_df': 9, 'ngram_range': (2, 4)}, mean score: 0.5491798026400103
{'min_df': 9, 'ngram_range': (2, 5)}, mean score: 0.5489363065487634
{'min_df': 9, 'ngram_range': (2, 6)}, mean score: 0.547840574138152
{'min_df': 9, 'ngram_range': (2, 7)}, mean score: 0.5477764962194028
